"country","totalIPs"
"A1",59590
"A2",864223
"AD",37504
"AE",3684114
"AF",141590
"AG",51072
"AI",8965
"AL",346454
"AM",611370
"AO",1089798
"AP",143519
"AQ",4419
"AR",18682089
"AS",9672
"AT",11225694
"AU",48203043
"AW",54546
"AX",37373
"AZ",711958
"BA",803346
"BB",143883
"BD",1019400
"BE",11515576
"BF",63146
"BG",4399157
"BH",462603
"BI",16512
"BJ",63808
"BL",5
"BM",121611
"BN",199429
"BO",1129147
"BQ",16391
"BR",80733872
"BS",143978
"BT",27136
"BW",122648
"BY",1886876
"BZ",241929
"CA",82202202
"CC",5
"CD",131889
"CF",10501
"CG",49433
"CH",21210483
"CI",199552
"CK",8202
"CL",10181429
"CM",256335
"CN",330971332
"CO",17236621
"CR",2567805
"CU",256768
"CV",22528
"CW",321931
"CY",746342
"CZ",8202882
"DE",120449520
"DJ",41241
"DK",13036450
"DM",19526
"DO",1567544
"DZ",3746973
"EC",2638928
"EE",1370698
"EG",12007945
"ER",4096
"ES",29219703
"ET",98560
"EU",20126587
"FI",13648252
"FJ",140346
"FK",1671
"FM",10752
"FO",40197
"FR",80113290
"GA",321857
"GB",125499465
"GD",24070
"GE",1183111
"GF",48896
"GG",28428
"GH",520873
"GI",69728
"GL",20490
"GM",27141
"GN",27045
"GP",100832
"GQ",13329
"GR",6161317
"GS",5
"GT",637962
"GU",223241
"GW",10499
"GY",46080
"HK",12050529
"HN",476096
"HR",2373026
"HT",170240
"HU",5860482
"ID",19062666
"IE",7659736
"IL",7804625
"IM",73003
"IN",36706061
"IO",3072
"IQ",593173
"IR",10083895
"IS",865602
"IT",53379649
"JE",59042
"JM",268301
"JO",661902
"JP",204655215
"KE",3872540
"KG",272390
"KH",242688
"KI",6402
"KM",4357
"KN",26728
"KP",9539
"KR",112263150
"KW",1941160
"KY",203530
"KZ",2763668
"LA",61184
"LB",484452
"LC",25357
"LI",94778
"LK",546816
"LR",22840
"LS",73772
"LT",2427527
"LU",1284844
"LV",1835304
"LY",330504
"MA",5164554
"MC",53002
"MD",1381376
"ME",182528
"MF",7429
"MG",169237
"MH",6922
"MK",682522
"ML",56832
"MM",33088
"MN",208138
"MO",329989
"MP",14596
"MQ",92076
"MR",48184
"MS",2826
"MT",600606
"MU",1850636
"MV",55041
"MW",157001
"MX",28808966
"MY",6521428
"MZ",421637
"NA",429312
"NC",156426
"NE",44912
"NF",773
"NG",2399322
"NI",422672
"NL",48831204
"NO",15758518
"NP",484869
"NR",12293
"NU",2058
"NZ",7182201
"OM",904205
"PA",2052658
"PE",3196782
"PF",43778
"PG",59214
"PH",5414614
"PK",5292845
"PL",20628276
"PM",8453
"PN",8
"PR",1211738
"PS",577298
"PT",6402156
"PW",10496
"PY",1089679
"QA",818826
"RE",240129
"RO",12089615
"RS",2293569
"RU",46452552
"RW",360192
"SA",6540171
"SB",15882
"SC",2155593
"SD",1200911
"SE",26838943
"SG",6724058
"SH",512
"SI",2624533
"SJ",5
"SK",2790993
"SL",49704
"SM",30718
"SN",226330
"SO",19022
"SR",86794
"SS",7177
"ST",9221
"SV",664864
"SX",772
"SY",957696
"SZ",39690
"TC",17419
"TD",11789
"TF",10
"TG",22528
"TH",8630991
"TJ",62979
"TK",2048
"TL",7428
"TM",8965
"TN",3257600
"TO",13058
"TR",16314654
"TT",519936
"TV",12298
"TW",35532922
"TZ",848542
"UA",11871127
"UG",239771
"UM",12
"US",1585521432
"UY",4547136
"UZ",235018
"VA",17984
"VC",22277
"VE",6813107
"VG",39818
"VI",113851
"VN",15658133
"VU",21514
"WF",3588
"WS",22276
"YE",68104
"YT",21516
"ZA",26108423
"ZM",321864
"ZW",129922
